G,group,box,zone,task,delivery,hard,hard_deadline,expected_delivery,new_uav,new_battery
2,G2-01,S001-MED-01,S001,K000005,2875.825147417634,True,3600.0,3600,G2-01-U_C-01,G2-01-P_C-02
2,G2-01,S001-MED-02,S001,K000005,2875.825147417634,True,3600.0,3600,G2-01-U_C-01,G2-01-P_C-02
2,G2-01,S001-FOD-01,S001,K000005,2875.825147417634,False,,7200,G2-01-U_C-01,G2-01-P_C-02
2,G2-01,S001-FOD-02,S001,K000005,2875.825147417634,False,,7200,G2-01-U_C-01,G2-01-P_C-02
2,G2-01,S001-FOD-03,S001,K000005,2875.825147417634,False,,7200,G2-01-U_C-01,G2-01-P_C-02
2,G2-01,S001-HYG-01,S001,K000005,2875.825147417634,False,,10800,G2-01-U_C-01,G2-01-P_C-02
2,G2-01,S001-HYG-02,S001,K000019,8851.64634012156,False,,10800,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S001-WAT-01,S001,K001310,848.5768147050242,True,3600.0,3600,G2-01-U_A-01,G2-01-P_A-01
2,G2-01,S001-WAT-02,S001,K000005,2875.825147417634,False,,3600,G2-01-U_C-01,G2-01-P_C-02
2,G2-01,S001-WAT-03,S001,K000005,2875.825147417634,False,,3600,G2-01-U_C-01,G2-01-P_C-02
2,G2-01,S001-WAT-04,S001,K000011,4639.982471259751,False,,3600,G2-01-U_B-01,G2-01-P_B-01
2,G2-01,S001-WAT-05,S001,K000011,4639.982471259751,False,,3600,G2-01-U_B-01,G2-01-P_B-01
2,G2-01,S001-WAT-06,S001,K000019,8851.64634012156,False,,3600,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S001-WAT-07,S001,K000019,8851.64634012156,False,,3600,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S001-WAT-08,S001,K000019,8851.64634012156,False,,3600,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S006-MED-01,S006,K000002,1209.4213122433111,True,3600.0,3600,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S006-FOD-01,S006,K000002,1209.4213122433111,False,,7200,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S006-HYG-01,S006,K000002,1209.4213122433111,False,,10800,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S006-WAT-01,S006,K000002,1209.4213122433111,True,3600.0,3600,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S006-WAT-02,S006,K000002,1209.4213122433111,False,,3600,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S006-WAT-03,S006,K000002,1209.4213122433111,False,,3600,G2-01-U_C-01,G2-01-P_C-01
2,G2-01,S011-MED-01,S011,K000016,8883.128720363024,True,10800.0,10800,G2-01-U_B-01,G2-01-P_B-01
2,G2-01,S011-FOD-01,S011,K000016,8883.128720363024,False,,14400,G2-01-U_B-01,G2-01-P_B-01
2,G2-01,S011-WAT-01,S011,K000016,8883.128720363024,True,10800.0,10800,G2-01-U_B-01,G2-01-P_B-01
2,G2-02,S002-MED-01,S002,K000001,1631.7285677823775,True,3600.0,3600,G2-02-U_C-01,G2-02-P_C-01
2,G2-02,S002-FOD-01,S002,K000001,1631.7285677823775,False,,7200,G2-02-U_C-01,G2-02-P_C-01
2,G2-02,S002-FOD-02,S002,K000010,4659.197807776761,False,,7200,G2-02-U_B-01,G2-02-P_B-02
2,G2-02,S002-HYG-01,S002,K000010,4659.197807776761,False,,10800,G2-02-U_B-01,G2-02-P_B-02
2,G2-02,S002-WAT-01,S002,K000001,1631.7285677823775,True,3600.0,3600,G2-02-U_C-01,G2-02-P_C-01
2,G2-02,S002-WAT-02,S002,K000001,1631.7285677823775,False,,3600,G2-02-U_C-01,G2-02-P_C-01
2,G2-02,S002-WAT-03,S002,K000001,1631.7285677823775,False,,3600,G2-02-U_C-01,G2-02-P_C-01
2,G2-02,S002-WAT-04,S002,K000001,1631.7285677823775,False,,3600,G2-02-U_C-01,G2-02-P_C-01
2,G2-02,S003-MED-01,S003,K000012,6361.46380421311,True,7200.0,7200,G2-02-U_C-01,G2-02-P_C-04
2,G2-02,S003-FOD-01,S003,K000012,6361.46380421311,False,,10800,G2-02-U_C-01,G2-02-P_C-04
2,G2-02,S003-FOD-02,S003,K000017,8372.225574456665,False,,10800,G2-02-U_B-01,G2-02-P_B-02
2,G2-02,S003-HYG-01,S003,K000017,8372.225574456665,False,,14400,G2-02-U_B-01,G2-02-P_B-02
2,G2-02,S003-WAT-01,S003,K000012,6361.46380421311,True,7200.0,7200,G2-02-U_C-01,G2-02-P_C-04
2,G2-02,S003-WAT-02,S003,K000012,6361.46380421311,False,,7200,G2-02-U_C-01,G2-02-P_C-04
